'7.228011666666666', '80.022895'
'7.227036666666667', '80.02173833333333'
'7.226005', '80.020645'
'7.224996666666667', '80.019645'
'7.22454', '80.019235'
'7.224598333333334', '80.019115'
'7.224735', '80.01813'
'7.224848333333333', '80.01727666666666'
'7.225021666666667', '80.01588166666667'
'7.225193333333333', '80.014555'
'7.2254016666666665', '80.01287666666667'
'7.22562', '80.01113833333334'
'7.225886666666667', '80.00933333333333'
'7.226171666666667', '80.00766833333333'
'7.226515', '80.00569333333334'
'7.226826666666667', '80.00386'
'7.227125', '80.00210333333334'
'7.227435', '80.00042166666667'
'7.227728333333333', '79.99877166666667'
'7.227978333333334', '79.99724666666667'
'7.2282166666666665', '79.99576166666667'
'7.2284516666666665', '79.99430166666667'
'7.228698333333333', '79.99281166666667'
'7.228941666666667', '79.991355'
'7.229091666666666', '79.99047333333333'
'7.229311666666667', '79.98916666666666'
'7.22954', '79.98792333333333'
'7.2297633333333335', '79.986475'
'7.230021666666667', '79.98482833333334'
'7.2302816666666665', '79.98302833333334'
'7.230498333333333', '79.98137'
'7.230693333333333', '79.97972666666666'
'7.230901666666667', '79.97790833333333'
'7.231106666666666', '79.97611666666667'
'7.231271666666666', '79.97441'
'7.231468333333333', '79.97259833333334'
'7.231575', '79.97145666666667'
'7.231545', '79.97141'
'7.231183333333333', '79.971395'
'7.229943333333333', '79.97142333333333'
'7.229086666666666', '79.971435'
'7.227475', '79.97176833333333'
'7.225785', '79.97218333333333'
'7.224045', '79.97187666666667'
'7.222615', '79.971285'
'7.221128333333334', '79.97080333333334'
'7.2193483333333335', '79.97031166666666'
'7.217445', '79.96976833333333'
'7.21564', '79.96920833333333'
'7.213783333333334', '79.96881'
'7.211876666666667', '79.968325'
'7.2101516666666665', '79.96740166666666'
'7.208893333333333', '79.96674666666667'
'7.208851666666667', '79.966675'
'7.209165', '79.96609833333333'
'7.209848333333333', '79.96456'
'7.210253333333333', '79.96281666666667'
'7.210511666666667', '79.96102333333333'
'7.21084', '79.95902'
'7.211313333333333', '79.95721333333333'
'7.21176', '79.955515'
'7.212096666666667', '79.9538'
'7.212233333333334', '79.95212333333333'
'7.21221', '79.95019'
'7.212155', '79.94848'
'7.211983333333333', '79.94678333333333'
'7.211731666666667', '79.94524333333334'
'7.211383333333333', '79.94372833333334'
'7.211135', '79.94257333333333'
'7.210795', '79.94255333333334'
'7.20968', '79.94237333333334'
'7.208925', '79.94226166666667'
'7.208793333333333', '79.94201166666667'
'7.208605', '79.941315'
'7.20822', '79.94065833333333'
'7.208068333333333', '79.94002'
'7.208081666666667', '79.93997666666667'
'7.208396666666666', '79.93987166666666'
'7.208971666666667', '79.93964'
'7.209045', '79.93962666666667'
'7.209045', '79.93959833333334'
'7.209051666666666', '79.939575'
